mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
14	12	36	36	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		0	72	C5	5	73
15	13	37	37	1.0	0	0	3/4	2	1	1/4	1/4	1		-5	49	Db3	3	82
15	13	37	37	1.0	0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	77
15	13	37	37	1.0	0	0	3/4	1	1	1/4	1/4	1		0	84	C6	6	77
15	13	38	38	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	61	Db4	4	83
15	13	38	38	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	65	F4	4	83
15	13	38	38	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		-1	77	F5	5	78
15	13	77/2	77/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	79
15	13	39	39	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	61	Db4	4	84
15	13	39	39	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	65	F4	4	84
15	13	39	39	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		-4	80	Ab5	5	80
15	13	79/2	79/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		-2	82	Bb5	5	81
16	14	40	40	1.0	0	0	3/4	2	1	1/4	1/4	1		-3	51	Eb3	3	89
16	14	40	40	1.5	0	0	3/4	1	1	3/8	1/4	3/2		-2	70	Bb4	4	85
16	14	40	40	1.5	0	0	3/4	1	1	3/8	1/4	3/2		-2	82	Bb5	5	85
16	14	41	41	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	90
16	14	41	41	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	90
16	14	83/2	83/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		-4	80	Ab5	5	86
16	14	42	42	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	91
16	14	42	42	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	91
16	14	42	42	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		1	79	G5	5	87
16	14	85/2	85/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		-1	77	F5	5	88
17	15	43	43	1.0	0	0	3/4	2	1	1/4	1/4	1		-3	51	Eb3	3	96
17	15	43	43	1.5	0	0	3/4	1	1	3/8	1/4	3/2		1	67	G4	4	92
17	15	43	43	1.5	0	0	3/4	1	1	3/8	1/4	3/2		-3	75	Eb5	5	92
17	15	44	44	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	97
17	15	44	44	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	61	Db4	4	97
17	15	44	44	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	97
17	15	89/2	89/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		-5	73	Db5	5	93
17	15	45	45	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	98
17	15	45	45	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	61	Db4	4	98
17	15	45	45	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	98
17	15	45	45	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		0	72	C5	5	94
17	15	91/2	91/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	95
18	16	46	46	1.0	0	0	3/4	2	1	1/4	1/4	1		-4	44	Ab2	2	100
18	16	46	46	1.0	0	0	3/4	1	1	1/4	1/4	1		-4	68	Ab4	4	99
18	16	47	47	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-4	56	Ab3	3	101
18	16	47	47	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	101
18	16	47	47	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	101
